county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,bed_yes?,county_2,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
'San Benito',7/14/2020,2,0,2,25,0,0,3,1,'San Benito County',7/14/2020,23,23,3,3,0
'San Benito',7/15/2020,1,0,1,25,0,0,1,1,'San Benito County',7/15/2020,20,20,3,3,0
'San Benito',7/16/2020,1,0,1,25,0,0,2,1,'San Benito County',7/16/2020,20,20,3,3,0
'San Benito',7/17/2020,2,0,2,25,0,0,2,1,'San Benito County',7/17/2020,21,21,3,3,0
'San Benito',7/20/2020,2,0,2,25,0,0,1,1,'San Benito County',7/20/2020,23,23,3,3,0
'San Benito',7/21/2020,4,0,4,25,2,0,0,0,'San Benito County',7/21/2020,23,23,3,3,0
'San Benito',7/22/2020,2,0,2,25,1,0,1,1,'San Benito County',7/22/2020,23,23,3,3,0
'San Benito',7/23/2020,3,0,3,25,1,0,0,0,'San Benito County',7/23/2020,23,23,3,3,0
'San Benito',7/24/2020,6,0,6,25,1,0,0,0,'San Benito County',7/24/2020,23,23,3,3,0
'San Benito',7/27/2020,6,0,6,25,1,0,0,0,'San Benito County',7/27/2020,23,23,3,3,0
'San Benito',7/28/2020,7,0,7,25,2,0,0,0,'San Benito County',7/28/2020,23,23,3,3,0
'San Benito',7/29/2020,3,1,4,25,1,1,2,1,'San Benito County',7/29/2020,23,23,3,3,0
'San Benito',7/30/2020,3,0,3,25,1,0,1,1,'San Benito County',7/30/2020,23,23,3,3,0
'San Benito',7/31/2020,1,0,1,25,1,0,1,1,'San Benito County',7/31/2020,23,23,3,3,0
'San Benito',8/3/2020,3,0,3,25,1,0,2,1,'San Benito County',8/3/2020,23,23,3,3,0
'San Benito',8/4/2020,3,0,3,25,1,0,1,1,'San Benito County',8/4/2020,23,23,3,3,0
